Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
1	:	1772016386.990	  5703.818	0	0	0	0	python /home/minhtri/Molecular_AD/src/smri_preprocess.py --single /mnt/data_lab513/adni/sMRI/raw_nii/941_S_10470/11190394.nii.gz /mnt/data_lab513/adni/sMRI/processed/ /home/minhtri/Molecular_AD/log
2	:	1772016687.003	  6296.227	0	0	0	0	python /home/minhtri/Molecular_AD/src/smri_preprocess.py --single /mnt/data_lab513/adni/sMRI/raw_nii/941_S_10534/11138677.nii.gz /mnt/data_lab513/adni/sMRI/processed/ /home/minhtri/Molecular_AD/log
3	:	1772016987.449	  6115.769	0	0	0	0	python /home/minhtri/Molecular_AD/src/smri_preprocess.py --single /mnt/data_lab513/adni/sMRI/raw_nii/941_S_10659/11185475.nii.gz /mnt/data_lab513/adni/sMRI/processed/ /home/minhtri/Molecular_AD/log
4	:	1772022090.808	  6712.171	0	0	0	0	python /home/minhtri/Molecular_AD/src/smri_preprocess.py --single /mnt/data_lab513/adni/sMRI/raw_nii/941_S_4187/1330555.nii.gz /mnt/data_lab513/adni/sMRI/processed/ /home/minhtri/Molecular_AD/log
5	:	1772022983.232	  6249.157	0	0	0	0	python /home/minhtri/Molecular_AD/src/smri_preprocess.py --single /mnt/data_lab513/adni/sMRI/raw_nii/941_S_4292/1500470.nii.gz /mnt/data_lab513/adni/sMRI/processed/ /home/minhtri/Molecular_AD/log
6	:	1772023283.953	  6560.914	0	0	0	0	python /home/minhtri/Molecular_AD/src/smri_preprocess.py --single /mnt/data_lab513/adni/sMRI/raw_nii/941_S_6044/872975.nii.gz /mnt/data_lab513/adni/sMRI/processed/ /home/minhtri/Molecular_AD/log
7	:	1772028802.980	  5719.434	0	0	0	0	python /home/minhtri/Molecular_AD/src/smri_preprocess.py --single /mnt/data_lab513/adni/sMRI/raw_nii/941_S_6058/1209877.nii.gz /mnt/data_lab513/adni/sMRI/processed/ /home/minhtri/Molecular_AD/log
8	:	1772029232.391	  5783.114	0	0	0	0	python /home/minhtri/Molecular_AD/src/smri_preprocess.py --single /mnt/data_lab513/adni/sMRI/raw_nii/941_S_6058/884964.nii.gz /mnt/data_lab513/adni/sMRI/processed/ /home/minhtri/Molecular_AD/log
9	:	1772029844.869	  5602.006	0	0	0	0	python /home/minhtri/Molecular_AD/src/smri_preprocess.py --single /mnt/data_lab513/adni/sMRI/raw_nii/941_S_6068/1481645.nii.gz /mnt/data_lab513/adni/sMRI/processed/ /home/minhtri/Molecular_AD/log
10	:	1772034522.416	  5342.864	0	0	0	0	python /home/minhtri/Molecular_AD/src/smri_preprocess.py --single /mnt/data_lab513/adni/sMRI/raw_nii/941_S_6080/913233.nii.gz /mnt/data_lab513/adni/sMRI/processed/ /home/minhtri/Molecular_AD/log
