Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
8	:	1770637454.755	 13618.296	0	0	0	0	python /home/minhtri/Molecular_AD/src/smri_preprocess.py --single /mnt/data_lab513/adni/sMRI/raw_nii/006_S_6689/1563078.nii.gz /mnt/data_lab513/adni/sMRI/processed/ /home/minhtri/Molecular_AD/log
7	:	1770637154.476	 14843.337	0	0	0	0	python /home/minhtri/Molecular_AD/src/smri_preprocess.py --single /mnt/data_lab513/adni/sMRI/raw_nii/005_S_10300/11088080.nii.gz /mnt/data_lab513/adni/sMRI/processed/ /home/minhtri/Molecular_AD/log
6	:	1770636853.509	 15785.192	0	0	0	0	python /home/minhtri/Molecular_AD/src/smri_preprocess.py --single /mnt/data_lab513/adni/sMRI/raw_nii/003_S_6260/1590171.nii.gz /mnt/data_lab513/adni/sMRI/processed/ /home/minhtri/Molecular_AD/log
1	:	1770635351.534	 17331.690	0	0	0	0	python /home/minhtri/Molecular_AD/src/smri_preprocess.py --single /mnt/data_lab513/adni/sMRI/raw_nii/003_S_4118/1124855.nii.gz /mnt/data_lab513/adni/sMRI/processed/ /home/minhtri/Molecular_AD/log
9	:	1770651073.053	  4932.381	0	0	0	0	python /home/minhtri/Molecular_AD/src/smri_preprocess.py --single /mnt/data_lab513/adni/sMRI/raw_nii/007_S_4911/365003.nii.gz /mnt/data_lab513/adni/sMRI/processed/ /home/minhtri/Molecular_AD/log
12	:	1770652939.532	  5018.790	0	0	0	0	python /home/minhtri/Molecular_AD/src/smri_preprocess.py --single /mnt/data_lab513/adni/sMRI/raw_nii/016_S_4353/267937.nii.gz /mnt/data_lab513/adni/sMRI/processed/ /home/minhtri/Molecular_AD/log
10	:	1770651997.816	  9588.122	0	0	0	0	python /home/minhtri/Molecular_AD/src/smri_preprocess.py --single /mnt/data_lab513/adni/sMRI/raw_nii/012_S_10277/11052174.nii.gz /mnt/data_lab513/adni/sMRI/processed/ /home/minhtri/Molecular_AD/log
11	:	1770652638.704	 12700.542	0	0	0	0	python /home/minhtri/Molecular_AD/src/smri_preprocess.py --single /mnt/data_lab513/adni/sMRI/raw_nii/013_S_7103/1634179.nii.gz /mnt/data_lab513/adni/sMRI/processed/ /home/minhtri/Molecular_AD/log
14	:	1770657958.335	  8885.068	0	0	0	0	python /home/minhtri/Molecular_AD/src/smri_preprocess.py --single /mnt/data_lab513/adni/sMRI/raw_nii/016_S_6800/1426470.nii.gz /mnt/data_lab513/adni/sMRI/processed/ /home/minhtri/Molecular_AD/log
15	:	1770661585.941	 11433.173	0	0	0	0	python /home/minhtri/Molecular_AD/src/smri_preprocess.py --single /mnt/data_lab513/adni/sMRI/raw_nii/021_S_6940/1441119.nii.gz /mnt/data_lab513/adni/sMRI/processed/ /home/minhtri/Molecular_AD/log
13	:	1770656005.443	 23293.108	0	0	0	0	python /home/minhtri/Molecular_AD/src/smri_preprocess.py --single /mnt/data_lab513/adni/sMRI/raw_nii/016_S_4887/325642.nii.gz /mnt/data_lab513/adni/sMRI/processed/ /home/minhtri/Molecular_AD/log
17	:	1770666843.405	 17050.689	0	0	0	0	python /home/minhtri/Molecular_AD/src/smri_preprocess.py --single /mnt/data_lab513/adni/sMRI/raw_nii/027_S_5109/882978.nii.gz /mnt/data_lab513/adni/sMRI/processed/ /home/minhtri/Molecular_AD/log
18	:	1770673019.115	 11712.141	0	0	0	0	python /home/minhtri/Molecular_AD/src/smri_preprocess.py --single /mnt/data_lab513/adni/sMRI/raw_nii/027_S_5127/365834.nii.gz /mnt/data_lab513/adni/sMRI/processed/ /home/minhtri/Molecular_AD/log
19	:	1770679298.554	 10105.922	0	0	0	0	python /home/minhtri/Molecular_AD/src/smri_preprocess.py --single /mnt/data_lab513/adni/sMRI/raw_nii/027_S_5127/379444.nii.gz /mnt/data_lab513/adni/sMRI/processed/ /home/minhtri/Molecular_AD/log
20	:	1770683894.096	 10841.143	0	0	0	0	python /home/minhtri/Molecular_AD/src/smri_preprocess.py --single /mnt/data_lab513/adni/sMRI/raw_nii/027_S_5127/423096.nii.gz /mnt/data_lab513/adni/sMRI/processed/ /home/minhtri/Molecular_AD/log
21	:	1770684731.259	 13197.246	0	0	0	0	python /home/minhtri/Molecular_AD/src/smri_preprocess.py --single /mnt/data_lab513/adni/sMRI/raw_nii/027_S_5169/495957.nii.gz /mnt/data_lab513/adni/sMRI/processed/ /home/minhtri/Molecular_AD/log
24	:	1770697928.508	 10431.275	0	0	0	0	python /home/minhtri/Molecular_AD/src/smri_preprocess.py --single /mnt/data_lab513/adni/sMRI/raw_nii/027_S_5277/386393.nii.gz /mnt/data_lab513/adni/sMRI/processed/ /home/minhtri/Molecular_AD/log
23	:	1770694735.242	 13858.754	0	0	0	0	python /home/minhtri/Molecular_AD/src/smri_preprocess.py --single /mnt/data_lab513/adni/sMRI/raw_nii/027_S_5197/498435.nii.gz /mnt/data_lab513/adni/sMRI/processed/ /home/minhtri/Molecular_AD/log
22	:	1770689404.511	 19816.268	0	0	0	0	python /home/minhtri/Molecular_AD/src/smri_preprocess.py --single /mnt/data_lab513/adni/sMRI/raw_nii/027_S_5197/375825.nii.gz /mnt/data_lab513/adni/sMRI/processed/ /home/minhtri/Molecular_AD/log
27	:	1770709220.781	 11228.647	0	0	0	0	python /home/minhtri/Molecular_AD/src/smri_preprocess.py --single /mnt/data_lab513/adni/sMRI/raw_nii/027_S_5288/1504118.nii.gz /mnt/data_lab513/adni/sMRI/processed/ /home/minhtri/Molecular_AD/log
25	:	1770708359.784	 12376.126	0	0	0	0	python /home/minhtri/Molecular_AD/src/smri_preprocess.py --single /mnt/data_lab513/adni/sMRI/raw_nii/027_S_5277/508489.nii.gz /mnt/data_lab513/adni/sMRI/processed/ /home/minhtri/Molecular_AD/log
26	:	1770708660.340	 12362.210	0	0	0	0	python /home/minhtri/Molecular_AD/src/smri_preprocess.py --single /mnt/data_lab513/adni/sMRI/raw_nii/027_S_5288/1251784.nii.gz /mnt/data_lab513/adni/sMRI/processed/ /home/minhtri/Molecular_AD/log
4	:	1770636252.875	 87732.263	0	0	0	0	python /home/minhtri/Molecular_AD/src/smri_preprocess.py --single /mnt/data_lab513/adni/sMRI/raw_nii/003_S_5150/374417.nii.gz /mnt/data_lab513/adni/sMRI/processed/ /home/minhtri/Molecular_AD/log
28	:	1770720449.430	 10520.109	0	0	0	0	python /home/minhtri/Molecular_AD/src/smri_preprocess.py --single /mnt/data_lab513/adni/sMRI/raw_nii/027_S_5288/390929.nii.gz /mnt/data_lab513/adni/sMRI/processed/ /home/minhtri/Molecular_AD/log
29	:	1770720750.421	 10695.994	0	0	0	0	python /home/minhtri/Molecular_AD/src/smri_preprocess.py --single /mnt/data_lab513/adni/sMRI/raw_nii/027_S_5288/955161.nii.gz /mnt/data_lab513/adni/sMRI/processed/ /home/minhtri/Molecular_AD/log
30	:	1770721051.319	 12376.786	0	0	0	0	python /home/minhtri/Molecular_AD/src/smri_preprocess.py --single /mnt/data_lab513/adni/sMRI/raw_nii/027_S_6034/1471447.nii.gz /mnt/data_lab513/adni/sMRI/processed/ /home/minhtri/Molecular_AD/log
31	:	1770723985.139	 11189.118	0	0	0	0	python /home/minhtri/Molecular_AD/src/smri_preprocess.py --single /mnt/data_lab513/adni/sMRI/raw_nii/027_S_6183/10970152.nii.gz /mnt/data_lab513/adni/sMRI/processed/ /home/minhtri/Molecular_AD/log
32	:	1770730969.551	 12866.561	0	0	0	0	python /home/minhtri/Molecular_AD/src/smri_preprocess.py --single /mnt/data_lab513/adni/sMRI/raw_nii/027_S_6183/1576981.nii.gz /mnt/data_lab513/adni/sMRI/processed/ /home/minhtri/Molecular_AD/log
33	:	1770731446.418	 13562.849	0	0	0	0	python /home/minhtri/Molecular_AD/src/smri_preprocess.py --single /mnt/data_lab513/adni/sMRI/raw_nii/027_S_6183/959453.nii.gz /mnt/data_lab513/adni/sMRI/processed/ /home/minhtri/Molecular_AD/log
34	:	1770733428.107	 12089.745	0	0	0	0	python /home/minhtri/Molecular_AD/src/smri_preprocess.py --single /mnt/data_lab513/adni/sMRI/raw_nii/027_S_6577/1050410.nii.gz /mnt/data_lab513/adni/sMRI/processed/ /home/minhtri/Molecular_AD/log
35	:	1770735174.260	 12950.842	0	0	0	0	python /home/minhtri/Molecular_AD/src/smri_preprocess.py --single /mnt/data_lab513/adni/sMRI/raw_nii/027_S_6577/1384712.nii.gz /mnt/data_lab513/adni/sMRI/processed/ /home/minhtri/Molecular_AD/log
36	:	1770743836.115	 13401.819	0	0	0	0	python /home/minhtri/Molecular_AD/src/smri_preprocess.py --single /mnt/data_lab513/adni/sMRI/raw_nii/027_S_6582/1057804.nii.gz /mnt/data_lab513/adni/sMRI/processed/ /home/minhtri/Molecular_AD/log
38	:	1770745517.855	 12105.457	0	0	0	0	python /home/minhtri/Molecular_AD/src/smri_preprocess.py --single /mnt/data_lab513/adni/sMRI/raw_nii/027_S_6640/1442327.nii.gz /mnt/data_lab513/adni/sMRI/processed/ /home/minhtri/Molecular_AD/log
39	:	1770748125.115	 12061.042	0	0	0	0	python /home/minhtri/Molecular_AD/src/smri_preprocess.py --single /mnt/data_lab513/adni/sMRI/raw_nii/027_S_6648/1108061.nii.gz /mnt/data_lab513/adni/sMRI/processed/ /home/minhtri/Molecular_AD/log
