epoch,stable_dims,step,train_C,train_D,train_I,train_cluster,train_dim_kl,train_kl,train_loss,train_pred,train_recon,val_C,val_D,val_I,val_dim_kl,val_kl,val_loss,val_pred,val_recon
0,0.0,47,0.8404961228370667,0.5984808802604675,0.045567404478788376,,,,,,,0.5523516535758972,0.38401997089385986,0.3050744831562042,928.2982788085938,0.0009282983955927193,2.716317653656006,0.9503272771835327,0.35301244258880615
0,,47,,,,0.0,1223.4227294921875,0.001223422703333199,2.9962196350097656,0.9632286429405212,0.4063534438610077,,,,,,,,
1,0.0,95,0.9113370776176453,0.47543179988861084,0.04320286214351654,,,,,,,0.8040326833724976,0.48788461089134216,0.15289534628391266,3912.304931640625,0.0039123049937188625,2.3756253719329834,0.9581853151321411,0.28270554542541504
1,,95,,,,0.46330949664115906,1472.1650390625,0.0014721648767590523,2.7922699451446533,0.9776327610015869,0.316302090883255,,,,,,,,
2,0.0,143,0.7798948287963867,0.38500937819480896,0.10436101257801056,,,,,,,0.8043990731239319,0.4896669387817383,0.14833001792430878,3205.277587890625,0.003205277491360903,2.0507147312164307,0.9506946802139282,0.2193629890680313
2,,143,,,,0.6060135960578918,2758.1259765625,0.0027581260073930025,2.494011878967285,0.9608328938484192,0.24548284709453583,,,,,,,,
3,1.0,191,0.801609992980957,0.4172402322292328,0.11581910401582718,,,,,,,0.8038376569747925,0.47918128967285156,0.1487836092710495,2937.6044921875,0.0029376044403761625,1.7165077924728394,0.9499636292457581,0.1527213156223297
3,,191,,,,0.6954662799835205,2973.683837890625,0.002973683411255479,2.222144365310669,0.9602685570716858,0.18223385512828827,,,,,,,,
4,2.0,239,0.7901490926742554,0.45154091715812683,0.11642464250326157,,,,,,,0.8039458990097046,0.4760182797908783,0.149015411734581,2766.97412109375,0.0027669742703437805,1.4993400573730469,0.9499111175537109,0.1093323826789856
4,,239,,,,0.6940018534660339,2905.762451171875,0.002905762754380703,1.9508776664733887,0.9601771235466003,0.1281588077545166,,,,,,,,
5,4.0,287,0.7959849834442139,0.47177743911743164,0.11689485609531403,,,,,,,0.8069711327552795,0.47760191559791565,0.14758022129535675,2639.605712890625,0.0026396054308861494,1.3679348230361938,0.9498233795166016,0.08309437334537506
5,,287,,,,0.7534034252166748,2765.233154296875,0.002765233628451824,1.8026114702224731,0.9600464701652527,0.09261965751647949,,,,,,,,
6,1.0,335,0.759412407875061,0.43827134370803833,0.3312669098377228,,,,,,,0.7867212891578674,0.5692674517631531,0.33803826570510864,2489.09033203125,0.0024890904314816,1.2452508211135864,0.9377948641777039,0.06099340319633484
6,,335,,,,0.7401717305183411,2626.7939453125,0.002626794157549739,1.7284584045410156,1.000519871711731,0.07104511559009552,,,,,,,,
7,1.0,383,0.7239358425140381,0.47832030057907104,0.3284218907356262,,,,,,,0.7921895980834961,0.609441876411438,0.34197863936424255,2394.344970703125,0.0023943448904901743,1.1778327226638794,0.9182309508323669,0.05144146829843521
7,,383,,,,0.7361421585083008,2483.95556640625,0.002483955817297101,1.651797890663147,0.9989138245582581,0.05646578595042229,,,,,,,,
8,6.0,431,0.7497519254684448,0.49696025252342224,0.32463815808296204,,,,,,,0.7911142706871033,0.6318738460540771,0.35254228115081787,2156.81298828125,0.002156812697649002,1.1399399042129517,0.9083200097084045,0.045892637223005295
8,,431,,,,0.7253880500793457,2324.611328125,0.0023246111813932657,1.5981717109680176,0.9936316609382629,0.047904256731271744,,,,,,,,
9,1.0,479,0.7842098474502563,0.45491933822631836,0.33477139472961426,,,,,,,0.7465026378631592,0.5903434753417969,0.4044684171676636,682.8978271484375,0.0006828978075645864,1.202367901802063,0.9713121652603149,0.04607454314827919
9,,479,,,,0.719577968120575,2115.633056640625,0.0021156328730285168,1.5300021171569824,0.9535889625549316,0.04290163889527321,,,,,,,,
10,1.0,527,0.7180673480033875,0.5278486609458923,0.3498844802379608,,,,,,,0.7802739143371582,0.6604490876197815,0.41684773564338684,2616.661865234375,0.0026166620664298534,1.177534818649292,0.9770203828811646,0.039579566568136215
10,,527,,,,0.6911399960517883,2258.85107421875,0.002258850960060954,1.3817439079284668,0.8350308537483215,0.03977679833769798,,,,,,,,
11,0.0,575,0.7337505221366882,0.6309579610824585,0.3863687813282013,,,,,,,0.7546869516372681,0.6237452030181885,0.418975293636322,2554.056884765625,0.0025540567003190517,1.7142894268035889,1.5288283824920654,0.03658138960599899
11,,575,,,,0.6979760527610779,3322.6748046875,0.003322674660012126,1.244410514831543,0.708899974822998,0.0366399921476841,,,,,,,,
12,5.0,623,0.7281626462936401,0.6276191473007202,0.405175119638443,,,,,,,0.7800913453102112,0.6394575834274292,0.4369211196899414,3711.544921875,0.0037115446757525206,0.8929888010025024,0.7046646475791931,0.03692251443862915
12,,623,,,,0.6501858830451965,3196.919189453125,0.003196919336915016,1.1584762334823608,0.6551135182380676,0.035014558583498,,,,,,,,
13,0.0,671,0.7342633008956909,0.6100614070892334,0.39658454060554504,,,,,,,0.7567921280860901,0.6629666686058044,0.45535722374916077,3223.27880859375,0.0032232787925750017,0.8179623484611511,0.64955073595047,0.03303765133023262
13,,671,,,,0.630753219127655,3117.419921875,0.003117420943453908,1.1334952116012573,0.6488717794418335,0.0332258902490139,,,,,,,,
14,0.0,719,0.7005490064620972,0.5024290084838867,0.30835220217704773,,,,,,,0.7732543349266052,0.6481142044067383,0.39727333188056946,4985.88134765625,0.00498588103801012,1.1620469093322754,0.9959399700164795,0.032224226742982864
14,,719,,,,0.6570342183113098,3074.459228515625,0.0030744599644094706,1.2682255506515503,0.7762216925621033,0.0320824570953846,,,,,,,,
15,0.0,767,0.7374721765518188,0.5828550457954407,0.3681817352771759,,,,,,,0.7839401960372925,0.623572051525116,0.4222942888736725,4094.635498046875,0.00409463606774807,0.8109932541847229,0.6535020470619202,0.03067932277917862
15,,767,,,,0.6927502751350403,4332.83935546875,0.0043328385800123215,1.1836740970611572,0.6790576577186584,0.03078172355890274,,,,,,,,
16,1.0,815,0.7277005910873413,0.6024810075759888,0.3742211163043976,,,,,,,0.774645984172821,0.6687315702438354,0.40767815709114075,4107.3193359375,0.004107319284230471,0.8358268141746521,0.6828792095184326,0.029768049716949463
16,,815,,,,0.6329373717308044,4580.5439453125,0.004580543376505375,1.1168519258499146,0.6460404396057129,0.02995244413614273,,,,,,,,
17,0.0,863,0.7513760328292847,0.5082500576972961,0.3817920386791229,,,,,,,0.7773895859718323,0.6270374059677124,0.41933879256248474,2485.319091796875,0.0024853190407156944,2.4140889644622803,2.258528470993042,0.03061499074101448
17,,863,,,,0.4567829668521881,5714.283203125,0.005714283790439367,1.0160984992980957,0.6368765830993652,0.029023222625255585,,,,,,,,
18,1.0,911,0.7679781317710876,0.5236787796020508,0.3715755343437195,,,,,,,0.785272479057312,0.6797875165939331,0.4252496659755707,9676.15625,0.00967615656554699,0.8728308081626892,0.7178245782852173,0.029066018760204315
18,,911,,,,1.0909395217895508,9984.9541015625,0.00998495239764452,1.394997000694275,0.6917443871498108,0.029559625312685966,,,,,,,,
19,3.0,959,0.7598303556442261,0.6759451627731323,0.40254464745521545,,,,,,,0.7735061049461365,0.572771430015564,0.43261900544166565,4365.90087890625,0.004365900997072458,2.2372517585754395,2.0861082077026367,0.029355568811297417
19,,959,,,,0.6219773888587952,11486.0634765625,0.01148606464266777,1.0977438688278198,0.633674681186676,0.028318865224719048,,,,,,,,
20,4.0,1007,0.7436313033103943,0.6155580282211304,0.42093244194984436,,,,,,,0.8057560324668884,0.6645936965942383,0.44567403197288513,11598.3173828125,0.011598317883908749,0.7752726674079895,0.6263006925582886,0.027474720031023026
20,,1007,,,,0.6376493573188782,11472.2265625,0.01147222425788641,1.076482892036438,0.6084899306297302,0.027539141476154327,,,,,,,,
21,10.0,1055,0.7437548041343689,0.6383645534515381,0.4171436131000519,,,,,,,0.787476658821106,0.6832447052001953,0.44229015707969666,8245.5283203125,0.008245526812970638,0.7939788103103638,0.6486567854881287,0.027415309101343155
21,,1055,,,,0.6441935896873474,11057.2919921875,0.011057291179895401,1.0811764001846313,0.6114482283592224,0.02731480449438095,,,,,,,,
22,3.0,1103,0.7583922147750854,0.6270846128463745,0.4258852005004883,,,,,,,0.7985398769378662,0.6634630560874939,0.45671898126602173,6881.31884765625,0.006881317589432001,0.8394073247909546,0.6973815560340881,0.027028897777199745
22,,1103,,,,0.5990405082702637,10297.6611328125,0.010297661647200584,1.0342599153518677,0.5901596546173096,0.026856400072574615,,,,,,,,
23,7.0,1151,0.7379333972930908,0.6163575053215027,0.4369388222694397,,,,,,,0.7925563454627991,0.6262338757514954,0.4570046365261078,10782.474609375,0.010782474651932716,0.7890461087226868,0.6458763480186462,0.026477456092834473
