epoch,stable_dims,step,train_C,train_D,train_D_topk,train_I,train_I_topk,train_cluster,train_dim_kl,train_kl,train_loss,train_pred,train_recon,val_C,val_D,val_D_topk,val_I,val_I_topk,val_dim_kl,val_kl,val_loss,val_pred,val_recon,w_cluster,w_pred,w_recon
0,0.0,47,0.6257282495498657,0.466789573431015,,0.055630967020988464,,,,,,,,0.4267088770866394,0.33244457840919495,,0.41270917654037476,,32.82167053222656,3.2821670174598694e-05,3.188220262527466,1.032981276512146,0.43104124069213867,,,
0,,47,,,,,,0.0,33.52925109863281,3.352924977662042e-05,0.4980997145175934,1.0455671548843384,0.43158450722694397,,,,,,,,,,,0.3300703167915344,0.3405824899673462,0.32934728264808655
1,0.0,95,0.8745723962783813,0.5117682218551636,,0.029458442702889442,,,,,,,,0.7449070811271667,0.40718916058540344,,0.14917902648448944,,4108.31494140625,0.004108314868062735,2.0982720851898193,0.9661127924919128,0.2256101667881012,,,
1,,95,,,,,,0.8353626132011414,1970.4539794921875,0.001970454817637801,0.7229936122894287,1.0043331384658813,0.3085043728351593,,,,,,,,,,,0.32094189524650574,0.3506731688976288,0.32838496565818787
2,0.0,143,0.7958787679672241,0.28268468379974365,,0.08271942287683487,,,,,,,,0.7153891921043396,0.40019360184669495,,0.17417199909687042,,3949.294921875,0.00394929526373744,1.6891326904296875,0.9656350612640381,0.14390966296195984,,,
2,,143,,,,,,0.6552846431732178,3869.626953125,0.0038696269039064646,0.638778030872345,0.9796158671379089,0.1825547069311142,,,,,,,,,,,0.32406261563301086,0.3798050582408905,0.2961324155330658
3,7.0,191,0.7506186962127686,0.4511023759841919,,0.10977914184331894,,,,,,,,0.7391915917396545,0.39901432394981384,,0.15345098078250885,,3858.396484375,0.00385839631780982,1.411412000656128,0.9655700325965881,0.08839673548936844,,,
3,,191,,,,,,0.7410562634468079,3833.0703125,0.003833070397377014,0.6570374369621277,0.9785780906677246,0.11319442838430405,,,,,,,,,,,0.33804669976234436,0.3830922842025757,0.2788608968257904
4,6.0,239,0.774559497833252,0.4185699224472046,,0.10498474538326263,,,,,,,,0.7375509142875671,0.3892803192138672,,0.1505512297153473,,3638.6953125,0.003638695692643523,1.2720880508422852,0.9654954671859741,0.06059078499674797,,,
4,,239,,,,,,0.6951396465301514,3843.349853515625,0.0038433510344475508,0.6320750713348389,0.9785027503967285,0.0721297413110733,,,,,,,,,,,0.35417529940605164,0.37453100085258484,0.2712937891483307
5,5.0,287,0.7802090048789978,0.3650726079940796,,0.10258998721837997,,,,,,,,0.740978479385376,0.38745173811912537,,0.15008775889873505,,3526.048828125,0.0035260487347841263,1.2043615579605103,0.965442955493927,0.047078512609004974,,,
5,,287,,,,,,0.6702502369880676,3800.968994140625,0.0038009705021977425,0.6085745692253113,0.9784433841705322,0.0535576194524765,,,,,,,,,,,0.3570850193500519,0.3619156777858734,0.28099945187568665
6,4.0,335,0.7783999443054199,0.3751183748245239,0.4101940095424652,0.09319931268692017,0.27105236053466797,,,,,,,0.7653893828392029,0.4168832004070282,0.4750455319881439,0.1357278972864151,0.30050304532051086,3393.7197265625,0.0033937194384634495,1.208152174949646,1.0016486644744873,0.04062196984887123,,,
6,,335,,,,,,0.7401361465454102,3669.1240234375,0.0036691250279545784,0.6317784190177917,1.0004088878631592,0.0438670851290226,,,,,,,,,,,0.3557620048522949,0.3557016849517822,0.28853633999824524
7,3.0,383,0.7879368662834167,0.4217391908168793,0.45913898944854736,0.09195005893707275,0.26758748292922974,,,,,,,0.7670400142669678,0.4356446862220764,0.5230245590209961,0.13334722816944122,0.3126961588859558,3149.516845703125,0.0031495168805122375,1.1589365005493164,0.9748293161392212,0.036191511899232864,,,
7,,383,,,,,,0.7281761169433594,3499.158203125,0.003499157726764679,0.6223167181015015,1.0009832382202148,0.037973396480083466,,,,,,,,,,,0.35363054275512695,0.3533541262149811,0.29301533102989197
8,3.0,431,0.7786568999290466,0.44581282138824463,0.5030639171600342,0.09206174314022064,0.2811300754547119,,,,,,,0.7679589986801147,0.4454306662082672,0.5142121315002441,0.13264960050582886,0.3051604628562927,3245.857421875,0.0032458570785820484,1.1446243524551392,0.9745776653289795,0.03336017206311226,,,
8,,431,,,,,,0.7229275703430176,3343.261474609375,0.0033432617783546448,0.6179815530776978,1.000501275062561,0.03429412096738815,,,,,,,,,,,0.35272273421287537,0.35278451442718506,0.2944927513599396
9,6.0,479,0.7932891845703125,0.43376076221466064,0.488762766122818,0.08828556537628174,0.2786127030849457,,,,,,,0.7691752910614014,0.4492468237876892,0.4724947512149811,0.1318214237689972,0.3118937015533447,2985.220947265625,0.002985220868140459,1.0940005779266357,0.9309346079826355,0.032016150653362274,,,
9,,479,,,,,,0.7022123336791992,3220.235595703125,0.0032202359288930893,0.6052953600883484,1.0003066062927246,0.03196144104003906,,,,,,,,,,,0.3502512276172638,0.3496238887310028,0.30012497305870056
10,7.0,527,0.783680260181427,0.43201297521591187,0.42486488819122314,0.08614812046289444,0.26787105202674866,,,,,,,0.7920531034469604,0.45416074991226196,0.4990985095500946,0.1244971975684166,0.2892659604549408,4318.3994140625,0.004318399354815483,1.0924674272537231,0.9250478744506836,0.03262023255228996,,,
10,,527,,,,,,0.739331066608429,3101.345947265625,0.0031013451516628265,0.6195845007896423,1.0004578828811646,0.030237266793847084,,,,,,,,,,,0.34967291355133057,0.35187849402427673,0.2984486222267151
11,0.0,575,0.764176607131958,0.31742408871650696,0.32893916964530945,0.07111843675374985,0.20810997486114502,,,,,,,0.7734150290489197,0.433063268661499,0.44759637117385864,0.13233746588230133,0.3220367431640625,3947.37109375,0.003947370685636997,1.0762784481048584,0.92436283826828,0.029593659564852715,,,
11,,575,,,,,,0.7294632792472839,3382.513916015625,0.0033825135324150324,0.6041198372840881,0.9966998100280762,0.02903285063803196,,,,,,,,,,,0.3159201443195343,0.36532482504844666,0.31875500082969666
12,0.0,623,0.7611289024353027,0.4142506420612335,0.420206218957901,0.07821565121412277,0.24961437284946442,,,,,,,0.7712299823760986,0.46789735555648804,0.6758896112442017,0.13984256982803345,0.38602474331855774,2116.876953125,0.002116877119988203,1.0030734539031982,0.839236319065094,0.032344065606594086,,,
12,,623,,,,,,0.7238473892211914,3837.1708984375,0.0038371707778424025,0.5656288862228394,0.9575615525245667,0.0281605813652277,,,,,,,,,,,0.3053201138973236,0.34806057810783386,0.3466193377971649
13,0.0,671,0.7717382907867432,0.3651198446750641,0.3422206938266754,0.07775162905454636,0.27016371488571167,,,,,,,0.7927506566047668,0.40400081872940063,0.6152586340904236,0.1405937522649765,0.37475481629371643,3964.30859375,0.003964308649301529,1.0951498746871948,0.9504150748252869,0.02815411426126957,,,
13,,671,,,,,,1.1355388164520264,3536.595947265625,0.0035365961957722902,0.5707042813301086,0.8676651120185852,0.02769792638719082,,,,,,,,,,,0.15773600339889526,0.3865021765232086,0.45576179027557373
14,5.0,719,0.7702686786651611,0.549617350101471,0.6124368906021118,0.09432480484247208,0.35958462953567505,,,,,,,0.7886690497398376,0.4852634370326996,0.614680290222168,0.13734391331672668,0.4187527894973755,3632.21142578125,0.0036322118248790503,0.9358262419700623,0.7988472580909729,0.026669370010495186,,,
14,,719,,,,,,0.7313507199287415,3950.51171875,0.003950511105358601,0.36468228697776794,0.7027602791786194,0.026871778070926666,,,,,,,,,,,0.11354046314954758,0.3806332051753998,0.5058262944221497
15,2.0,767,0.7419546246528625,0.5090233683586121,0.6584980487823486,0.10480905324220657,0.4008975327014923,,,,,,,0.7727553844451904,0.48384803533554077,0.6909434199333191,0.14608989655971527,0.4460047483444214,3559.66650390625,0.003559666685760021,0.7348276972770691,0.6025147438049316,0.02575066313147545,,,
15,,767,,,,,,0.6657429337501526,3569.293701171875,0.003569292835891247,0.33475545048713684,0.6690571904182434,0.025718653574585915,,,,,,,,,,,0.13189898431301117,0.3485885560512543,0.5195124745368958
16,8.0,815,0.7342106699943542,0.5111210942268372,0.6316479444503784,0.11106282472610474,0.42864325642585754,,,,,,,0.7706719636917114,0.49105304479599,0.6822431087493896,0.15387150645256042,0.46427619457244873,4196.45166015625,0.004196451045572758,0.8762443661689758,0.7380167841911316,0.02680622972548008,,,
16,,815,,,,,,0.6451379656791687,3352.638916015625,0.0033526390325278044,0.30408844351768494,0.5981320738792419,0.025157354772090912,,,,,,,,,,,0.14441122114658356,0.3306756913661957,0.5249131321907043
17,5.0,863,0.7473533153533936,0.48918408155441284,0.5920491218566895,0.11210884153842926,0.4364771246910095,,,,,,,0.7645843625068665,0.4568732976913452,0.6905105710029602,0.1616276204586029,0.48008280992507935,3770.93408203125,0.0037709339521825314,0.8073525428771973,0.6757476329803467,0.02556680329144001,,,
17,,863,,,,,,0.6569360494613647,3309.399658203125,0.0033094000536948442,0.29663416743278503,0.5857781767845154,0.024708501994609833,,,,,,,,,,,0.1495564728975296,0.3161502182483673,0.5342933535575867
18,11.0,911,0.7463337779045105,0.47227680683135986,0.6680478453636169,0.12351836264133453,0.4468603730201721,,,,,,,0.7524365186691284,0.4852368235588074,0.7314218878746033,0.16756467521190643,0.489783376455307,3033.883544921875,0.003033883636817336,0.6848777532577515,0.560478925704956,0.024272989481687546,,,
18,,911,,,,,,0.7442173957824707,3656.380859375,0.0036563805770128965,0.30193188786506653,0.5899108648300171,0.024561479687690735,,,,,,,,,,,0.14315339922904968,0.3081212639808655,0.5487253069877625
19,16.0,959,0.7373523712158203,0.47275882959365845,0.7428451776504517,0.14191877841949463,0.4915081262588501,,,,,,,0.738261878490448,0.4350357949733734,0.6953690052032471,0.19465939700603485,0.5059278011322021,3587.584228515625,0.0035875847097486258,0.8668267130851746,0.743408203125,0.023966196924448013,,,
19,,959,,,,,,0.6976128220558167,3411.818603515625,0.0034118189942091703,0.2787500023841858,0.5217083096504211,0.023806342855095863,,,,,,,,,,,0.16141526401042938,0.2936767637729645,0.5449079871177673
20,12.0,1007,0.7103437781333923,0.4622017443180084,0.7108983993530273,0.15473484992980957,0.5236260294914246,,,,,,,0.7231000661849976,0.4083675742149353,0.7273612022399902,0.21707969903945923,0.5404398441314697,2989.41845703125,0.0029894185718148947,1.0700172185897827,0.9416865110397339,0.025068242102861404,,,
20,,1007,,,,,,0.605019748210907,3151.119140625,0.003151119453832507,0.2558344900608063,0.5004352331161499,0.02346058189868927,,,,,,,,,,,0.17416441440582275,0.2740817964076996,0.5517537593841553
21,9.0,1055,0.7060279250144958,0.44270235300064087,0.6403800249099731,0.15634647011756897,0.5321038961410522,,,,,,,0.7095558643341064,0.4041573405265808,0.6863499879837036,0.22497528791427612,0.5403560400009155,2924.61669921875,0.0029246164485812187,0.6812469363212585,0.5612983703613281,0.0234048031270504,,,
21,,1055,,,,,,0.6187629103660583,3153.3857421875,0.0031533855944871902,0.24494774639606476,0.5126655697822571,0.023337164893746376,,,,,,,,,,,0.1652763932943344,0.25123831629753113,0.5834851861000061
22,11.0,1103,0.7051276564598083,0.4276103377342224,0.6338221430778503,0.17553183436393738,0.5719596743583679,,,,,,,0.7096527218818665,0.42922770977020264,0.6928505897521973,0.23342713713645935,0.5564029216766357,3029.1357421875,0.0030291357543319464,0.7556143403053284,0.6330837607383728,0.023900285363197327,,,
22,,1103,,,,,,0.604006290435791,3214.7958984375,0.003214796306565404,0.2160917967557907,0.43399491906166077,0.022890863940119743,,,,,,,,,,,0.16350211203098297,0.23875337839126587,0.5977444648742676
23,20.0,1151,0.7072716951370239,0.45479485392570496,0.6076878309249878,0.1739083230495453,0.6094462275505066,,,,,,,0.728764533996582,0.39761072397232056,0.6440434455871582,0.23327775299549103,0.5472758412361145,3099.813720703125,0.0030998133588582277,0.6896337866783142,0.571380615234375,0.023030666634440422,,,
23,,1151,,,,,,0.5777778029441833,3168.808349609375,0.003168808063492179,0.19810457527637482,0.4246123731136322,0.022694064304232597,,,,,,,,,,,0.15798673033714294,0.2182154655456543,0.6237978339195251
24,18.0,1199,0.7065714001655579,0.44063928723335266,0.5948359370231628,0.18035122752189636,0.6385302543640137,,,,,,,0.7115654349327087,0.41251447796821594,0.6785672307014465,0.2429986447095871,0.5509011149406433,2623.55615234375,0.0026235561817884445,0.7340233325958252,0.6154568791389465,0.023188594728708267,,,
24,,1199,,,,,,0.6146127581596375,3030.830322265625,0.0030308302957564592,0.1819838285446167,0.39788833260536194,0.022474681958556175,,,,,,,,,,,0.14713746309280396,0.19193339347839355,0.6609290838241577
25,18.0,1247,0.7036784887313843,0.4314729869365692,0.627465009689331,0.18969003856182098,0.649513840675354,,,,,,,0.7069393396377563,0.42837950587272644,0.6963716149330139,0.23994240164756775,0.5647335052490234,2781.398681640625,0.0027813988272100687,0.6041420698165894,0.4906623065471649,0.022139670327305794,,,
25,,1247,,,,,,0.6123614311218262,3006.0283203125,0.0030060280114412308,0.16006648540496826,0.35416552424430847,0.022220173850655556,,,,,,,,,,,0.13852931559085846,0.1680990606546402,0.693371593952179
26,19.0,1295,0.6921588778495789,0.4417095482349396,0.6008847951889038,0.19061903655529022,0.682571530342102,,,,,,,0.7087216973304749,0.4451768100261688,0.6787318587303162,0.2325255423784256,0.5379691123962402,2823.293701171875,0.002823293674737215,0.7122614979743958,0.5979877710342407,0.022290073335170746,,,
